profilePictureUrl,comment,likeCount,replyCount,commentDate,commentId,ownerId,timestamp
,"Regras para comentários:

- Não serão aceitas mensagens desrespeitosas, links ou textos em maiúsculas.

- Comentários com manifestações de intolerância, preconceito, discriminação, incitação ao ódio e à violência, palavrões e ataques pessoais serão excluídos.

- Em caso de reincidência, a(o) responsável pelo comentário será banida(o).

- O CFP se reserva o direito de excluir comentários que não se refiram ao assunto em discussão.",275,19,2023-01-09T14:42:06.000Z,17948665154452526,1437271297,2023-01-11T20:58:21.261Z
,"Importante posicionamento. Porém quero saber:
- Da PL que desregulamenta a profissão;
- Quando vão tornar a atividade de terapia exclusiva da Psicologia;
- Quando vão fiscalizar testes Psicológicos na internet com resposta é tudo;
- Quando vão apoiar os psicólogos clínicos usando parte da verba para promoção da saúde mental (banner, propaganda em tv e etc)
Entre outras perguntas e posicionamentos sem resposta.

Este posicionamento é importante, mas a instituição é para cuidar da profissão Psicologia, e este posicionamento está faltando.",1237,135,2023-01-09T14:57:08.000Z,18000801682584239,1549253801,2023-01-11T20:58:21.261Z
,"Ninguém é a favor da depredação mesmo, mas nunca vejo vocês se manifestarem quando os atos são da esquerda que adora fazer isso, inclusive ontem tiveram infiltrados de esquerda envolvidos.",182,62,2023-01-09T14:53:31.000Z,17947616780445959,830139883,2023-01-11T20:58:21.261Z
,"É mesmo? Se fosse a esquerda fazendo qualquer coisa eu acho que estariam apoiando! A psicologia deveria ser apartidária, mas tenho visto o o CFP demonstrando seu apoio à esquerda.",162,44,2023-01-09T16:15:48.000Z,17977854628797851,1581513313,2023-01-11T20:58:21.261Z
,"Vcs tinham que se posicionar contra tantas coisas da nossa profissão! 
Crp tem que parar de ser político. Seria muito mais necessário  um posicionamento sobre o valor abusivo da nossa anuidade.",318,47,2023-01-09T14:54:59.000Z,18275751058102549,5348973240,2023-01-11T20:58:21.261Z
,Eu financio (pq sou obrigada) mas não me representa 🥰,90,22,2023-01-09T16:04:26.000Z,18067958392348225,225111287,2023-01-11T20:58:21.262Z
,"Prezados dirigentes do CRP, com o devido respeito, quando a esquerda faz as badernas, como fizeram e sempre fazem, vocês se calam. Mas, por quê? Com todo o respeito….",162,22,2023-01-09T15:01:46.000Z,17965894540990193,1328893201,2023-01-11T20:58:21.262Z
,"Porque o conselho não faz nada contra os ""psicólogos"" que apoiam tais atos e o ex presidente? Tudo é totalmente  contrário à profissão.",77,73,2023-01-09T14:59:18.000Z,17933732720609107,5423740553,2023-01-11T20:58:21.262Z
,Psicólogo que apoia Bolsonaro devia ler o código de ética até perceber onde errou,929,86,2023-01-09T15:41:24.000Z,17956955066470064,22943873863,2023-01-11T20:58:21.262Z
,CFP vcs não representam muitos Psicólogos!!! Se fossem os Vermelhos vcs estavam quietinhos uma hora dessas! Tenho vergonha em dizer que vcs e os regionais existem!!!!,132,43,2023-01-09T15:02:17.000Z,17927957249631128,1426567235,2023-01-11T20:58:21.262Z
